rank,school_name,state,school_sector,school_type,icsea,value_score,affordability_percentile,sa2_name
252,"St Joseph's School",VIC,"Catholic","Primary",1110,81.52,78.24,"Northcote - West"
253,"Mount Macedon Primary School",VIC,"Government","Primary",1147,81.49,75.65,"Macedon"
254,"Alphington Primary School",VIC,"Government","Primary",1173,81.43,82.6,"Clifton Hill - Alphington"
255,"The Hills Montessori School",SA,"Independent","Combined",1105,81.42,78.29,"Aldgate - Stirling"
256,"Cottesloe Primary School",WA,"Government","Primary",1153,81.36,93.44,"Mosman Park - Peppermint Grove"
257,"Siena College Ltd",VIC,"Catholic","Secondary",1153,81.34,69.06,"Surrey Hills (West) - Canterbury"
258,"Canberra Montessori School",ACT,"Independent","Primary",1128,81.34,73.43,"Holder"
259,"Regent College",WA,"Independent","Primary",1142,81.29,74.03,"Victoria Park - Lathlain - Burswood"
260,"St Agatha's Primary School",QLD,"Catholic","Primary",1159,81.26,90.54,"Clayfield"
261,"Xavier College",VIC,"Catholic","Combined",1154,81.25,57.78,"Kew - South"
262,"Cudgee Primary School",VIC,"Government","Primary",1052,81.24,93.72,"Moyne - East"
263,"Mentone Grammar School",VIC,"Independent","Combined",1144,81.22,67.78,"Mentone"
264,"Holy Trinity Primary School",ACT,"Catholic","Primary",1145,81.21,90.65,"Curtin"
265,"Giant Steps Melbourne",VIC,"Independent","Primary",1125,81.21,61.17,"Kew - West"
266,"Helena College",WA,"Independent","Combined",1114,81.2,75.04,"Glen Forrest - Darlington"
267,"Sydney Boys High School",NSW,"Government","Secondary",1189,81.16,79.69,"Paddington - Moore Park"
268,"Wembley Primary School",WA,"Government","Primary",1166,81.16,90.72,"Wembley - West Leederville - Glendalough"
269,"Santa Maria College",VIC,"Catholic","Secondary",1110,81.11,77.9,"Northcote - East"
270,"Trinity Grammar School Kew",VIC,"Independent","Combined",1180,81.09,57.78,"Kew - South"
271,"Andale School",VIC,"Independent","Special",1132,81.07,57.78,"Kew - South"
272,"North Sydney Boys High School",NSW,"Government","Secondary",1195,81.07,73.7,"North Sydney - Lavender Bay"
273,"Swanbourne Primary School",WA,"Government","Primary",1149,81.03,89.15,"Swanbourne - Mount Claremont"
274,"Milton State School",QLD,"Government","Primary",1151,81,86.15,"Paddington - Milton"
275,"Mount Lawley Primary School",WA,"Government","Primary",1155,80.99,92.94,"Mount Lawley - Inglewood"
276,"Tombolo Academy",VIC,"Independent","Special",1119,80.98,66.5,"Hampton"
277,"Chilwell Primary School",VIC,"Government","Primary",1139,80.97,86.92,"Newtown (Vic.)"
278,"Ballarat Steiner School",VIC,"Independent","Primary",1076,80.97,81.49,"Buninyong"
279,"Lourdes Hill College",QLD,"Catholic","Combined",1120,80.96,92.82,"Hawthorne"
280,"Graceville State School",QLD,"Government","Primary",1156,80.95,82.93,"Chelmer - Graceville"
281,"St Dominic's School",WA,"Catholic","Primary",1108,80.92,80.26,"Innaloo - Doubleview"
282,"St Kilda Primary School",VIC,"Government","Primary",1126,80.9,83.28,"St Kilda - Central"
283,"St Bernadette's School",VIC,"Catholic","Primary",1149,80.89,71.45,"Ivanhoe"
284,"Wellers Hill State School",QLD,"Government","Primary",1139,80.88,84.52,"Tarragindi"
285,"Hawker Primary School",ACT,"Government","Primary",1129,80.85,88.54,"Hawker"
286,"St Benedict School",SA,"Independent","Primary",1109,80.85,76.94,"Adelaide Hills"
287,"St Joseph's College",NSW,"Independent","Secondary",1130,80.84,70.59,"Hunters Hill - Woolwich"
288,"Our Lady of Perpetual Succour School",VIC,"Catholic","Primary",1142,80.77,67.19,"Surrey Hills (East) - Mont Albert"
289,"Yarranlea Primary School",QLD,"Independent","Primary",1146,80.77,62.15,"Mount Gravatt"
290,"East Fremantle Primary School",WA,"Government","Primary",1149,80.76,81.82,"Fremantle"
291,"Port Neill Primary School",SA,"Government","Primary",1060,80.73,87.5,"Eyre Peninsula"
292,"St John Paul II College",ACT,"Catholic","Secondary",1089,80.72,86.55,"Nicholls"
293,"Comet State School",QLD,"Government","Primary",1038,80.69,98.14,"Central Highlands - West"
294,"Newmarket State School",QLD,"Government","Primary",1140,80.68,90.84,"Newmarket"
295,"Mosman Park Primary School",WA,"Government","Primary",1142,80.68,93.44,"Mosman Park - Peppermint Grove"
296,"St Joseph's College",QLD,"Catholic","Combined",1182,80.65,65.84,"Spring Hill"
297,"St Thomas' School",QLD,"Catholic","Primary",1156,80.6,86.05,"Camp Hill"
298,"St Monica's Primary School",VIC,"Catholic","Primary",1129,80.57,84.26,"Moonee Ponds"
299,"Nhulunbuy Christian College",NT,"Independent","Combined",1056,80.56,99.21,"Nhulunbuy"
300,"Our Lady of the Sacred Heart Catholic Primary School",QLD,"Catholic","Primary",1038,80.55,98.14,"Central Highlands - West"
301,"Cammeraygal High School",NSW,"Government","Secondary",1135,80.55,73.7,"North Sydney - Lavender Bay"
302,"Richmond Primary School",VIC,"Government","Primary",1150,80.5,83.69,"Richmond (South) - Cremorne"
303,"St Patrick's School",VIC,"Catholic","Primary",1141,80.5,79.06,"Murrumbeena"
304,"St Mary's School",VIC,"Catholic","Primary",1142,80.49,66.5,"Hampton"
305,"West Leederville Primary School",WA,"Government","Primary",1146,80.47,90.72,"Wembley - West Leederville - Glendalough"
306,"The Japanese School in Perth",WA,"Independent","Combined",1140,80.46,53.3,"City Beach"
307,"St Mary's School",VIC,"Catholic","Primary",1144,80.41,82.96,"Ascot Vale"
308,"Ithaca Creek State School",QLD,"Government","Primary",1170,80.41,82.44,"Red Hill (Qld)"
309,"Teelba State School",QLD,"Government","Primary",1038,80.41,96.36,"Roma Surrounds"
310,"Saint Mary MacKillop College Albury",NSW,"Independent","Combined",1074,80.39,92.06,"Albury Surrounds"
311,"Saint Spyridon College",SA,"Independent","Primary",1081,80.39,78.61,"Unley - Parkside"
312,"Throsby School",ACT,"Government","Primary",1096,80.39,80.88,"Throsby"
313,"Mercedes College",WA,"Independent","Secondary",1122,80.37,74.25,"Perth (West) - Northbridge"
314,"St Augustine's School",VIC,"Catholic","Primary",1125,80.36,77.55,"Yarraville"
315,"St Mary's School",VIC,"Catholic","Primary",1111,80.34,87.05,"St Kilda East"
316,"Ormond Primary School",VIC,"Government","Primary",1158,80.32,72.57,"Ormond - Glen Huntly"
317,"Brunswick North Primary School",VIC,"Government","Primary",1151,80.31,76.23,"Brunswick West"
318,"St Columba's College",VIC,"Catholic","Secondary",1107,80.31,86.85,"Essendon - East"
319,"Lyons Early Childhood School",ACT,"Government","Primary",1116,80.3,65.06,"Lyons (ACT)"
320,"Sacred Heart College",VIC,"Catholic","Secondary",1105,80.28,86.92,"Newtown (Vic.)"
321,"Trinity Christian School",ACT,"Independent","Combined",1150,80.28,75.23,"Wanniassa"
322,"Our Lady of Dolours School",QLD,"Catholic","Primary",1133,80.26,80.83,"Mitchelton"
323,"Ascot State School",QLD,"Government","Primary",1138,80.25,89.57,"Ascot"
324,"The Currajong School",VIC,"Independent","Special",1089,80.23,71.66,"Malvern East"
325,"Westgarth Primary School",VIC,"Government","Primary",1204,80.23,77.9,"Northcote - East"
326,"St Joseph's Catholic School, The Strand",QLD,"Catholic","Primary",1100,80.23,89.34,"Townsville City - North Ward"
327,"St Therese School",SA,"Catholic","Primary",1087,80.23,88.19,"Colonel Light Gardens"
328,"Mount Hawthorn Education Support Centre",WA,"Government","Special",1049,80.21,89.75,"Mount Hawthorn - Leederville"
329,"Shenton College",WA,"Government","Secondary",1160,80.16,83.33,"Subiaco - Shenton Park"
330,"Yuna Primary School",WA,"Government","Primary",1087,80.16,71.5,"Northampton - Mullewa - Greenough"
331,"Sacred Heart School",VIC,"Catholic","Primary",1126,80.05,77.84,"Newport"
332,"Weetangera Primary School",ACT,"Government","Primary",1117,80.05,90.64,"Weetangera"
333,"Albert Park Primary School",VIC,"Government","Primary",1156,80.03,75.12,"Albert Park"
334,"Canterbury Girls Secondary College",VIC,"Government","Secondary",1141,80.03,69.06,"Surrey Hills (West) - Canterbury"
335,"Aranda Primary School",ACT,"Government","Primary",1159,79.99,81.98,"Aranda"
336,"St Joseph's School",SA,"Catholic","Primary",1135,79.98,88.45,"Mitcham (SA)"
337,"St Peter Chanel Primary School",QLD,"Catholic","Primary",1127,79.97,67.47,"The Gap"
338,"St John's School",VIC,"Catholic","Primary",1136,79.95,62.89,"Footscray"
339,"Rosanna Golf Links Primary School",VIC,"Government","Primary",1133,79.92,70.26,"Heidelberg - Rosanna"
340,"Immanuel College",SA,"Independent","Secondary",1117,79.92,67.52,"Plympton"
341,"Carnarvon School Of The Air",WA,"Government","Primary",1047,79.91,93.06,"Carnarvon"
342,"Jerrabomberra High School",NSW,"Government","Secondary",1068,79.91,89.98,"Queanbeyan West - Jerrabomberra"
343,"Albert Park College",VIC,"Government","Secondary",1127,79.9,75.12,"Albert Park"
344,"Canterbury Primary School",VIC,"Government","Primary",1192,79.85,69.06,"Surrey Hills (West) - Canterbury"
345,"Kincoppal - Rose Bay School of the Sacred Heart",NSW,"Independent","Combined",1160,79.83,52.21,"Rose Bay - Vaucluse - Watsons Bay"
346,"St Margaret's Anglican Girls School",QLD,"Independent","Combined",1158,79.83,71.32,"Albion"
347,"Kambala",NSW,"Independent","Combined",1169,79.81,52.21,"Rose Bay - Vaucluse - Watsons Bay"
348,"The Cathedral School of St Anne and St James",QLD,"Independent","Combined",1100,79.81,86.25,"Mundingburra"
349,"Prahran High School",VIC,"Government","Secondary",1080,79.81,87.84,"Prahran - Windsor"
350,"Elwood Primary School",VIC,"Government","Primary",1131,79.8,88.61,"Elwood"
351,"Padua College",QLD,"Catholic","Combined",1117,79.78,84.57,"Kedron - Gordon Park"
352,"Our Holy Redeemer School",VIC,"Catholic","Primary",1180,79.75,69.06,"Surrey Hills (West) - Canterbury"
353,"Tintern Grammar",VIC,"Independent","Combined",1154,79.73,55.33,"Ringwood East"
354,"St Michael's Catholic Primary School",NSW,"Catholic","Primary",1160,79.72,59.17,"Petersham - Stanmore"
355,"St Margaret's Berwick Grammar",VIC,"Independent","Combined",1155,79.72,53.52,"Berwick - North"
356,"Christian Brothers' College",WA,"Catholic","Secondary",1092,79.72,81.82,"Fremantle"
357,"Darlinghurst Public School",NSW,"Government","Primary",1156,79.7,81.13,"Darlinghurst"
358,"Corpus Christi School",VIC,"Catholic","Primary",1105,79.68,76.06,"West Footscray - Tottenham"
359,"Lochington State School",QLD,"Government","Primary",1055,79.67,98.14,"Central Highlands - West"
360,"Yarraville West Primary School",VIC,"Government","Primary",1153,79.63,77.55,"Yarraville"
361,"Upper Brookfield State School",QLD,"Government","Primary",1106,79.62,80.34,"Brookfield - Kenmore Hills"
362,"All Hallows' School",QLD,"Catholic","Combined",1183,79.62,59.83,"Fortitude Valley"
363,"Marist Catholic College North Shore",NSW,"Catholic","Combined",1166,79.59,73.7,"North Sydney - Lavender Bay"
364,"Ripponlea Primary School",VIC,"Government","Primary",1141,79.59,72.32,"Caulfield - North"
365,"Heidelberg Primary School",VIC,"Government","Primary",1141,79.58,70.26,"Heidelberg - Rosanna"
366,"Shorncliffe State School",QLD,"Government","Primary",1122,79.57,91.07,"Sandgate - Shorncliffe"
367,"Christ the King School",QLD,"Catholic","Primary",1127,79.55,82.93,"Chelmer - Graceville"
368,"Narrabundah College",ACT,"Government","Secondary",1131,79.54,84.16,"Narrabundah"
369,"Finigan School of Distance Education",NSW,"Government","Combined",1067,79.53,77.24,"Queanbeyan"
370,"Moonee Ponds West Primary School",VIC,"Government","Primary",1136,79.51,84.26,"Moonee Ponds"
371,"Willaura Primary School",VIC,"Government","Primary",1034,79.5,95.99,"Ararat Surrounds"
372,"Lloyd Street Primary School",VIC,"Government","Primary",1180,79.49,71.66,"Malvern East"
373,"St Edmund's College Canberra",ACT,"Independent","Combined",1080,79.48,93.78,"Griffith (ACT)"
374,"Camp Hill State Infants and Primary School",QLD,"Government","Primary",1131,79.48,86.05,"Camp Hill"
375,"Our Lady of Mount Carmel School",QLD,"Catholic","Primary",1151,79.48,86.58,"Coorparoo"
376,"Goodwood Primary School",SA,"Government","Primary",1147,79.47,86.66,"Goodwood - Millswood"
377,"St John Vianney's School",VIC,"Catholic","Primary",1099,79.41,75.17,"Mordialloc - Parkdale"
378,"Reddam House",NSW,"Independent","Combined",1203,79.32,62.67,"Woollahra"
379,"Myrrhee Primary School",VIC,"Government","Primary",1076,79.32,77.71,"Wangaratta Surrounds"
380,"Mount Claremont Primary School",WA,"Government","Primary",1141,79.32,89.15,"Swanbourne - Mount Claremont"
381,"Aquinas College",WA,"Catholic","Combined",1110,79.31,69.82,"Manning - Waterford"
382,"Freshwater Creek Steiner School",VIC,"Independent","Primary",1094,79.3,76.86,"Winchelsea"
383,"St Brendan's Catholic Primary School",NSW,"Catholic","Primary",1166,79.23,62.05,"Annandale (NSW)"
384,"St Clare's College",ACT,"Catholic","Secondary",1087,79.23,93.78,"Griffith (ACT)"
385,"Fremantle Primary School",WA,"Government","Primary",1143,79.22,81.82,"Fremantle"
386,"Trinity College",WA,"Catholic","Combined",1113,79.21,71.65,"East Perth"
387,"Subiaco Primary School",WA,"Government","Primary",1169,79.19,83.33,"Subiaco - Shenton Park"
388,"Bulimba State School",QLD,"Government","Primary",1124,79.18,81.72,"Balmoral"
389,"St John's School",WA,"Catholic","Primary",1102,79.18,77.45,"Scarborough"
390,"Clapham Primary School",SA,"Government","Primary",1098,79.18,88.45,"Mitcham (SA)"
391,"Williamstown North Primary School",VIC,"Government","Primary",1135,79.15,76.62,"Williamstown"
392,"Brookfield State School",QLD,"Government","Primary",1164,79.14,80.34,"Brookfield - Kenmore Hills"
393,"Genazzano FCJ College",VIC,"Catholic","Combined",1127,79.13,57.78,"Kew - South"
394,"Caulfield Junior College",VIC,"Government","Primary",1160,79.12,72.32,"Caulfield - North"
395,"Holland Park State School",QLD,"Government","Primary",1149,79.12,82.38,"Holland Park"
396,"Enoggera State School",QLD,"Government","Primary",1128,79.11,82.12,"Enoggera"
397,"Port Phillip Specialist School",VIC,"Government","Special",1082,79.09,70.84,"Port Melbourne"
398,"Sydney Distance Education Primary School",NSW,"Government","Primary",1094,79.06,69.17,"Surry Hills"
399,"Luther College",VIC,"Independent","Secondary",1127,79.06,63.74,"Croydon Hills - Warranwood"
400,"The Riverina Anglican College",NSW,"Independent","Combined",1104,79,71.42,"Wagga Wagga - North"
401,"St Joseph's Parish School",SA,"Catholic","Primary",1046,78.96,94.61,"Jamestown"
402,"Inglewood Primary School",WA,"Government","Primary",1127,78.94,92.94,"Mount Lawley - Inglewood"
403,"Toorak Primary School",VIC,"Government","Primary",1141,78.93,82.53,"Toorak"
404,"Plenty Valley Christian College",VIC,"Independent","Combined",1113,78.93,76.4,"Panton Hill - St Andrews"
405,"Mckinnon Primary School",VIC,"Government","Primary",1156,78.89,72.57,"Ormond - Glen Huntly"
406,"Borden Primary School",WA,"Government","Primary",1034,78.86,98.07,"Gnowangerup"
407,"Jolimont Primary School",WA,"Government","Primary",1164,78.86,83.33,"Subiaco - Shenton Park"
408,"St Thomas' School",SA,"Catholic","Primary",1116,78.86,86.66,"Goodwood - Millswood"
409,"Arawang Primary School",ACT,"Government","Primary",1113,78.85,86.46,"Waramanga"
410,"Woodleigh School",VIC,"Independent","Combined",1116,78.84,60.45,"Langwarrin"
411,"Taverners Hill Infants School",NSW,"Government","Primary",1129,78.81,59.17,"Petersham - Stanmore"
412,"St Dominic's School",VIC,"Catholic","Primary",1169,78.79,57.21,"Camberwell"
413,"Holy Family Primary School",NSW,"Catholic","Primary",1132,78.77,73.09,"Merewether - The Junction"
414,"Natimuk Primary School",VIC,"Government","Primary",1044,78.77,96.21,"Horsham Surrounds"
415,"John Curtin College Of The Arts",WA,"Government","Secondary",1129,78.74,81.82,"Fremantle"
416,"Rosalie Primary School",WA,"Government","Primary",1178,78.73,83.33,"Subiaco - Shenton Park"
417,"Cannon Hill Anglican College",QLD,"Independent","Combined",1174,78.72,63.27,"Cannon Hill"
418,"St Michael's School",VIC,"Catholic","Primary",1139,78.7,70.99,"Ashburton (Vic.)"
419,"St Joseph's Primary School",ACT,"Catholic","Primary",1130,78.7,88.37,"O'Connor (ACT)"
420,"Catholic Ladies' College Ltd",VIC,"Catholic","Secondary",1119,78.68,67.22,"Eltham"
421,"Sherwood State School",QLD,"Government","Primary",1139,78.66,83.31,"Sherwood"
422,"The Armidale School",NSW,"Independent","Combined",1097,78.65,70.34,"Armidale"
423,"St Joseph's College Geelong",VIC,"Catholic","Secondary",1075,78.65,86.92,"Newtown (Vic.)"
424,"St Peters Lutheran College",QLD,"Independent","Combined",1183,78.65,53.2,"Indooroopilly"
425,"White Gum Valley Primary School",WA,"Government","Primary",1119,78.64,81.82,"Fremantle"
426,"St Margaret Mary's School",VIC,"Catholic","Primary",1103,78.62,67.92,"Brunswick - North"
427,"Mount Hawthorn Primary School",WA,"Government","Primary",1140,78.57,89.75,"Mount Hawthorn - Leederville"
428,"St Bede's Primary School",ACT,"Catholic","Primary",1117,78.56,91.85,"Red Hill (ACT)"
429,"International Chinese School",NSW,"Independent","Primary",1172,78.55,61.55,"St Leonards - Naremburn"
430,"St Mary's School",VIC,"Catholic","Primary",1114,78.54,73.19,"Geelong"
431,"Glenmore Road Public School",NSW,"Government","Primary",1176,78.51,79.69,"Paddington - Moore Park"
432,"Coorparoo State School",QLD,"Government","Primary",1132,78.5,86.58,"Coorparoo"
433,"Mount Lawley Senior High School",WA,"Government","Secondary",1103,78.5,92.94,"Mount Lawley - Inglewood"
434,"University High School",VIC,"Government","Secondary",1117,78.43,71.78,"Parkville"
435,"St James Primary School",QLD,"Catholic","Primary",1102,78.38,86.58,"Coorparoo"
436,"St Elizabeth's School",QLD,"Catholic","Primary",1141,78.37,84.52,"Tarragindi"
437,"St Luke's Catholic Primary School",VIC,"Catholic","Primary",1087,78.33,87.27,"Shepparton - North"
438,"Norman Park State School",QLD,"Government","Primary",1119,78.33,86.4,"Norman Park"
439,"Firbank Grammar School",VIC,"Independent","Combined",1152,78.3,51.32,"Brighton (Vic.)"
440,"Alice Springs School Of The Air",NT,"Government","Combined",1025,78.28,99.33,"Charles"
441,"Sandringham Primary School",VIC,"Government","Primary",1158,78.24,68.07,"Sandringham - Black Rock"
442,"Marshall Road State School",QLD,"Government","Primary",1135,78.22,80.89,"Holland Park West"
443,"Wooloowin State School",QLD,"Government","Primary",1121,78.17,82.35,"Wooloowin - Lutwyche"
444,"Ivanhoe East Primary School",VIC,"Government","Primary",1155,78.14,78.23,"Ivanhoe East - Eaglemont"
445,"St Paul's Catholic Primary School",NT,"Catholic","Primary",1077,78.13,85.07,"Rapid Creek"
446,"St Cecilia's School",VIC,"Catholic","Primary",1172,78.13,68.66,"Glen Iris - East"
447,"Blue Gum Montessori School",WA,"Independent","Primary",1156,78.09,57.95,"South Lake - Cockburn Central"
448,"The Woden School",ACT,"Government","Special",1046,78.08,84.46,"Deakin"
449,"Floreat Park Primary School",WA,"Government","Primary",1173,78.07,81.06,"Floreat"
450,"Mount Stuart Primary School",TAS,"Government","Primary",1138,78.04,79.42,"Lenah Valley - Mount Stuart"
451,"Bob Hawke College",WA,"Government","Secondary",1129,78.04,83.33,"Subiaco - Shenton Park"
452,"Tarrington Lutheran School",VIC,"Independent","Primary",1063,78.03,96.49,"Southern Grampians"
453,"Treetops Montessori School",WA,"Independent","Combined",1083,78.03,75.04,"Glen Forrest - Darlington"
454,"Neerim District Rural Primary School",VIC,"Government","Primary",1079,78.02,70.05,"Mount Baw Baw Region"
455,"Dunkeld Consolidated School",VIC,"Government","Primary",1046,78,96.49,"Southern Grampians"
456,"Kinross Wolaroi School",NSW,"Independent","Combined",1128,77.99,60.78,"Orange"
457,"Brunswick North West Primary School",VIC,"Government","Primary",1140,77.98,76.23,"Brunswick West"
458,"North Cottesloe Primary School",WA,"Government","Primary",1164,77.95,80.67,"Cottesloe"
459,"Brunswick South West Primary School",VIC,"Government","Primary",1168,77.94,76.23,"Brunswick West"
460,"Glen Eira College",VIC,"Government","Secondary",1117,77.93,72.32,"Caulfield - North"
461,"Merri Creek Primary School",VIC,"Government","Primary",1186,77.91,73.84,"Fitzroy North"
462,"Camberwell South Primary School",VIC,"Government","Primary",1183,77.91,68.66,"Glen Iris - East"
463,"Aspect Treetop School",SA,"Independent","Special",1080,77.9,67.52,"Plympton"
464,"Loreto College",VIC,"Catholic","Secondary",1073,77.87,83.01,"Ballarat"
465,"Saint Mary MacKillop Colleges Limited",NSW,"Independent","Combined",1078,77.85,78.4,"Wagga Wagga - South"
466,"Sacred Heart School",VIC,"Catholic","Primary",1169,77.85,57.78,"Kew - South"
467,"St Mary's School",VIC,"Catholic","Primary",1089,77.85,71.98,"Thornbury"
468,"Rose Park Primary School",SA,"Government","Primary",1162,77.85,81.37,"Toorak Gardens"
469,"Yarra Primary School",VIC,"Government","Primary",1134,77.81,75.31,"Richmond - North"
470,"St Patrick's School",VIC,"Catholic","Primary",1107,77.81,78.7,"Geelong West - Hamlyn Heights"
471,"Mount Egerton Primary School",VIC,"Government","Primary",1049,77.74,82.15,"Gordon (Vic.)"
472,"Ipswich Grammar School",QLD,"Independent","Combined",1114,77.73,73.51,"Ipswich - Central"
473,"Girton Grammar School",VIC,"Independent","Combined",1148,77.71,63.54,"Bendigo"
474,"Buckley Park College",VIC,"Government","Secondary",1088,77.69,79.46,"Essendon (West) - Aberfeldie"
475,"North-Eastern Montessori School",VIC,"Independent","Primary",1143,77.66,53.88,"Greensborough"
476,"Ipswich Girls' Grammar School",QLD,"Independent","Combined",1122,77.66,73.51,"Ipswich - Central"
477,"Westbourne Park Primary School",SA,"Government","Primary",1126,77.66,88.19,"Colonel Light Gardens"
478,"Beth Rivkah Ladies College",VIC,"Independent","Combined",1086,77.63,72.32,"Caulfield - North"
479,"Brighton Grammar School",VIC,"Independent","Combined",1143,77.55,51.32,"Brighton (Vic.)"
480,"Sts Peter and Paul's School",QLD,"Catholic","Primary",1156,77.54,81.72,"Balmoral"
481,"Buangor Primary School",VIC,"Government","Primary",1028,77.53,95.99,"Ararat Surrounds"
482,"Aberfeldie Primary School",VIC,"Government","Primary",1108,77.53,79.46,"Essendon (West) - Aberfeldie"
483,"Belconnen High School",ACT,"Government","Secondary",1066,77.51,88.54,"Hawker"
484,"Corinda State School",QLD,"Government","Primary",1115,77.5,81.33,"Corinda"
485,"Mawson Primary School",ACT,"Government","Primary",1139,77.48,69.26,"Mawson"
486,"Highton Primary School",VIC,"Government","Primary",1121,77.46,78.95,"Highton"
487,"Linden Park Primary School",SA,"Government","Primary",1160,77.45,81.37,"Toorak Gardens"
488,"Kedron State High School",QLD,"Government","Secondary",1096,77.44,82.35,"Wooloowin - Lutwyche"
489,"Conservatorium High School",NSW,"Government","Secondary",1194,77.43,41.34,"Sydney (North) - Millers Point"
490,"Kingsville Primary School",VIC,"Government","Primary",1118,77.43,77.55,"Yarraville"
491,"St Joseph's School",VIC,"Catholic","Primary",1106,77.41,64.11,"Beechworth"
492,"Our Lady Help of Christians School",VIC,"Catholic","Primary",1094,77.41,67.22,"Eltham"
493,"Sacred Heart Catholic Primary School",NSW,"Catholic","Primary",1189,77.4,74.41,"Mosman - South"
494,"Owen Primary School",SA,"Government","Primary",1053,77.4,83.1,"Wakefield - Barunga West"
495,"Unley Primary School",SA,"Government","Primary",1154,77.38,78.61,"Unley - Parkside"
496,"Australian Science and Mathematics School",SA,"Government","Secondary",1101,77.37,69.21,"Bellevue Heights"
497,"New Farm State School",QLD,"Government","Primary",1112,77.35,88.74,"New Farm"
498,"St Dominic's Priory College",SA,"Catholic","Combined",1080,77.35,81.93,"North Adelaide"
499,"St Columba's Catholic Primary School",WA,"Catholic","Primary",1140,77.34,83.98,"South Perth - Kensington"
